000002EMPF    00000000000000000000000000000160817.00C
000005MTLN    00000000000014980000000000000002174.00C
000003MTLN    00000000000000570000000000000002174.00C
000003MTLN    00000000000000820000000000000002379.00C
000009MTLN    00000000000000570000000000000001189.00C
000009MTLN    00000000000000590000000000000001062.00C
000009MTLN    00000000000000750000000000000001112.00C
000011MTLN    00000000000000710000000000000000714.00C
000011MTLN    00000000000000740000000000000001189.00C
000008MTLN    00000000000002570000000000000002174.00C
000009MTLN    00000000000000690000000000000002379.00C
000009MTLN    00000000000000710000000000000002174.00C
000009MTLN    00000000000000730000000000000000952.00C
000009MTLN    00000000000000820000000000000002379.00C
000007MTLN    00000000000001620000000000000002379.00C
000007MTLN    00000000000001630000000000000002174.00C
000003MTLN    00000000000000880000000000000002379.00C
000003MTLN    00000000000000940000000000000002174.00C
000011MTLN    00000000000000760000000000000002379.00C
000006MTLN    00000000000004010000000000000002500.00C
000008MTLN    00000000000002300000000000000002200.00C
000008MTLN    00000000000002540000000000000001189.00C
000006MTLN    00000000000003750000000000000002174.00C
000003MTLN    00000000000000720000000000000001062.00C
000003MTLN    00000000000000730000000000000001112.00C
000003MTLN    00000000000000860000000000000002379.00C
000004MTLN    00000000000000440000000000000002174.00C
000005MTLN    00000000000014580000000000000001062.00C
000005MTLN    00000000000014710000000000000001112.00C
000009MTLN    00000000000000830000000000000002379.00C
000003MTLN    00000000000000690000000000000001062.00C
000003MTLN    00000000000000700000000000000001112.00C
000003MTLN    00000000000000900000000000000002379.00C
000009MTLN    00000000000000680000000000000000637.00C
000003MTLN    00000000000000530000000000000001062.00C
000007MTLN    00000000000001600000000000000002174.00C
000004MTLN    00000000000000210000000000000002174.00C
000004MTLN    00000000000000350000000000000000500.00C
000009MTLN    00000000000000160000000000000002174.00C
000006MTLN    00000000000003780000000000000001189.00C
000006MTLN    00000000000003890000000000000001189.00C
000010MTLN    00000000000003840000000000000001062.00C
000010MTLN    00000000000003890000000000000001112.00C
000005MTLN    00000000000015000000000000000002174.00C
000003MTLN    00000000000000750000000000000001062.00C
000003MTLN    00000000000000760000000000000001112.00C
000004MTLN    00000000000000450000000000000002174.00C
000004MTLN    00000000000000460000000000000001189.00C
000014MTLN    00000000000000050000000000000001189.00C
000014MTLN    00000000000000060000000000000002379.00C
000008MTLN    00000000000002560000000000000002174.00C
000009MTLN    00000000000000810000000000000002174.00C
000010MTLN    00000000000003790000000000000001062.00C
000010MTLN    00000000000003820000000000000001112.00C
000010MTLN    00000000000003900000000000000002379.00C
000012MTLN    00000000000002290000000000000001618.00C
000008MTLN    00000000000002350000000000000002174.00C
000007MTLN    00000000000001570000000000000002379.00C
000006MTLN    00000000000003430000000000000001062.00C
000006MTLN    00000000000003720000000000000001112.00C
000003MTLN    00000000000000920000000000000002379.00C
000003MTLN    00000000000000950000000000000002379.00C
000003MTLN    00000000000000970000000000000002379.00C
000008MTLN    00000000000002500000000000000002174.00C
000006MTLN    00000000000003940000000000000004758.00C
000010MTLN    00000000000003850000000000000001062.00C
000010MTLN    00000000000003920000000000000001112.00C
000013MTLN    00000000000002320000000000000002379.00C
000003MTLN    00000000000000980000000000000002174.00C
000004MTLN    00000000000000410000000000000001665.00C
000004MTLN    00000000000000510000000000000002174.00C
000004MTLN    00000000000000530000000000000002379.00C
000003MTLN    00000000000000960000000000000001062.00C
000003MTLN    00000000000000910000000000000001062.00C
000008MTLN    00000000000002480000000000000002379.00C
000008MTLN    00000000000002510000000000000002174.00C
000009MTLN    00000000000000430000000000000002432.00C
000009MTLN    00000000000000760000000000000002174.00C
000004MTLN    00000000000000560000000000000001062.00C
000004MTLN    00000000000000500000000000000002174.00C
000004MTLN    00000000000000540000000000000002379.00C
000007MTLN    00000000000001580000000000000002379.00C
000007MTLN    00000000000001610000000000000002379.00C
000007MTLN    00000000000001670000000000000002174.00C
000010MTLN    00000000000003860000000000000002400.00C
000010MTLN    00000000000003910000000000000001200.00C
000005MTLN    00000000000014400000000000000001733.00C
000005MTLN    00000000000014860000000000000002600.00C
000014MTLN    00000000000000030000000000000001189.00C
000014MTLN    00000000000000040000000000000002174.00C
000003MTLN    00000000000000790000000000000002379.00C
000003MTLN    00000000000000830000000000000001665.00C
000011MTLN    00000000000000730000000000000002174.00C
000013MTLN    00000000000003890000000000000001665.00C
000009HSLNS   00000000000000060000000000000013002.00C
000010HSLNS   00000000000000010000000000000005400.00C
000004HSLNS   00000000000090320000000000000003187.00C
000004HSLNS   00000000000090300000000000000002035.00C
000005HSLNS   00000000000000050000000000000004500.00C
000004HSLNS   00000000000090310000000000000004035.00C
000008HSLNS   00000000000000080000000000000013800.00C
000008HSLNS   00000000000000020000000000000001200.00C
000008HSLNS   00000000000000030000000000000000500.00C
000006HSLNS   00000000000000060000000000000001184.00C
000007HSLNS   00000000000000010000000000000001975.00C
000005HSLNS   00000000000000010000000000000001042.00C
000005HSLNS   00000000000000020000000000000000418.00C
000005HSLNS   00000000000000040000000000000000820.00C
000005HSLNS   00000000000000100000000000000002643.00C
000009HSLNS   00000000000000020000000000000002757.00C
000007HSLNS   00000000000000030000000000000001125.00C
000007HSLNS   00000000000000040000000000000000773.00C
000005HSLNS   00000000000000030000000000000002700.00C
000005HSLNS   00000000000000070000000000000002717.00C
000009HSLNS   00000000000000040000000000000002696.00C
000012HSLNS   00000000000000030000000000000010494.00C
000006HSLNS   00000000000000020000000000000002700.00C
000009HSLNS   00000000000000080000000000000008007.00C
000013HSLNS   00000000000000020000000000000009378.00C
000006HSLNS   00000000000000030000000000000001665.00C
000007HSLNS   00000000000000060000000000000002542.00C
000007HSLNS   00000000000000070000000000000001254.00C
000009HSLNS   00000000000000030000000000000002478.00C
000009HSLNS   00000000000000010000000000000002425.00C
000013HSLNS   00000000000000010000000000000002225.00C
000008HSLNS   00000000000000040000000000000001960.00C
000008HSLNS   00000000000000060000000000000004117.00C
000004HSLNS   00000000000090340000000000000002103.00C
000011HSLNS   00000000000000010000000000000004469.00C
000005HSLNS   00000000000000080000000000000006624.00C
000005HSLNS   00000000000000090000000000000007324.00C
000004HSLNS   00000000000090350000000000000004838.00C
000006HSLNS   00000000000000070000000000000006046.00C
000008HSLNS   00000000000000070000000000000002283.00C
000006HSLNS   00000000000000080000000000000004416.00C
000010HSLNS   00000000000000050000000000000004153.00C
000009HSLNS   00000000000000050000000000000001796.00C
000013HSLNS   00000000000000030000000000000004838.00C
000014HSLNS   00000000000000010000000000000010874.00C
000012HSLNS   00000000000000020000000000000006100.00C
000012HSLNS   00000000000000040000000000000007426.00C
000009HSLNS   00000000000000090000000000000006404.00C
000006LTLN    00000000000000050000000000000000724.00C
000006LTLN    00000000000000210000000000000000650.00C
000007LTLN    00000000000000460000000000000000656.00C
000006LTLN    00000000000000290000000000000000739.00C
000003LTLN    00000000000000100000000000000000591.00C
000003LTLN    00000000000000120000000000000000739.00C
000003LTLN    00000000000000130000000000000000740.00C
000003FSAD    00000000000001800000000000000003000.00C
000004FSAD    00000000000000220000000000000003100.00C
000012FSAD    00000000000000400000000000000003000.00C
000006FSAD    00000000000001450000000000000003300.00C
000008FSAD    00000000000001480000000000000003000.00C
000004FSAD    00000000000000240000000000000003200.00C
000008FSAD    00000000000001470000000000000001700.00C
000010FSAD    00000000000000390000000000000002800.00C
000011FSAD    00000000000001310000000000000001000.00C
000006FSAD    00000000000001420000000000000002000.00C
000003FSAD    00000000000001790000000000000002900.00C
000011FSAD    00000000000001290000000000000002900.00C
000003FSAD    00000000000001820000000000000001800.00C
000006FSAD    00000000000001410000000000000000600.00C
000008FSAD    00000000000001450000000000000002000.00C
000011FSAD    00000000000001300000000000000002000.00C
000008FSAD    00000000000001510000000000000002300.00C
000005FSAD    00000000000001820000000000000001000.00C
000003FSAD    00000000000001780000000000000001800.00C
000006FSAD    00000000000001430000000000000002500.00C
000003FSAD    00000000000001740000000000000002500.00C
000008FSAD    00000000000001460000000000000001900.00C
000012FSAD    00000000000000390000000000000002200.00C
000003FSAD    00000000000001840000000000000002300.00C
000008FSAD    00000000000001490000000000000002500.00C
000004FSAD    00000000000000230000000000000001700.00C
000003FSAD    00000000000001760000000000000001700.00C
000006FSAD    00000000000001440000000000000001600.00C
000003FSAD    00000000000001770000000000000001500.00C
000003FSAD    00000000000001720000000000000001400.00C
000003FSAD    00000000000001830000000000000001850.00C
000008FSAD    00000000000001500000000000000001500.00C
000012FSAD    00000000000000410000000000000001500.00C
000005FSAD    00000000000001840000000000000001500.00C
000013FSAD    00000000000000380000000000000001300.00C
000004FSAD    00000000000000250000000000000001600.00C
000009FSAD    00000000000001270000000000000001500.00C
000003FSAD    00000000000001750000000000000001470.00C
000013FSAD    00000000000000370000000000000001500.00C
000003FSAD    00000000000001810000000000000001500.00C
000014FSAD    00000000000000030000000000000001000.00C
000007FSLN    00000000000000620000000000000003390.00C
000007FSLN    00000000000000630000000000000002900.00C
000007FSLN    00000000000000640000000000000001800.00C
000007FSLN    00000000000000650000000000000000500.00C
000007VEHAC   00000000000VEHAC0000000000000000739.00C
000004SB      00000000000106850000000000000012100.00C
000009SB      00000000000072020000000000000012100.00C
000003SB      00000000000074060000000000000013290.00C
000009SB      00000000000015320000000000000015367.00C
000005SB      00000000000042180000000000000027059.00C
000003SB      00000000000015820000000000000012376.76C
000004SB      00000000000034800000000000000025469.00C
000012SB      00000000000016830000000000000015998.00C
000004SB      00000000000024060000000000000022826.00C
000013SB      00000000000017710000000000000020913.00C
000012SB      00000000000000040000000000000021073.24C
000008SB      00000000000152140000000000000025474.15C
000012SB      00000000000013390000000000000023246.33C
000010SB      00000000000001090000000000000023397.00C
000010SB      00000000000024970000000000000014965.08C
000003SB      00000000000022890000000000000017731.38C
000008SB      00000000000000060000000000000026572.00C
000004OD      00000000000031030000000000000013486.00C
000007SB      00000000000016600000000000000006691.53C
000005SB      00000000000175150000000000000012484.00C
000003SB      00000000000027400000000000000024452.00C
000010SB      00000000000018760000000000000014272.65C
000008SB      00000000000000050000000000000009949.00C
000005SB      00000000000093070000000000000009355.00C
000004SB      00000000000067790000000000000022250.00C
000009SB      00000000000062590000000000000013266.00C
000006SB      00000000000055110000000000000007763.00C
000010ODFDR   00000000000000390000000000000019919.00C
000014ODFDR   00000000000000290000000000000024329.00C
000011SB      00000000000012100000000000000014656.00C
000008SB      00000000000152020000000000000022066.51C
000011SB      00000000000013000000000000000019981.00C
000005SB      00000000000014260000000000000000171.00C
000005SB      00000000000014020000000000000015986.74C
000006SB      00000000000017240000000000000010591.00C
000006SB      00000000000025550000000000000008478.00C
000003SB      00000000000071980000000000000015844.00C
000012SB      00000000000016710000000000000009571.00C
000003SB      00000000000074200000000000000021895.39C
000006SB      00000000000033900000000000000012649.00C
000009SB      00000000000001910000000000000020830.62C
000003SB      00000000000026180000000000000002485.00C
000008SB      00000000000159990000000000000006841.00C
000009SB      00000000000059760000000000000016319.00C
000006SB      00000000000051450000000000000009287.00C
000005SB      00000000000072570000000000000018704.00C
000006SB      00000000000115350000000000000005594.00C
000005SB      00000000000073610000000000000019079.00C
000011SB      00000000000011600000000000000009264.78C
000005ODFDR   00000000000001680000000000000018964.00C
000008SB      00000000000042410000000000000012104.63C
000007SB      00000000000037140000000000000020107.00C
000003SB      00000000000061670000000000000011793.27C
000009SB      00000000000023850000000000000011242.00C
000008SB      00000000000047430000000000000011830.00C
000009SB      00000000000063030000000000000006030.94C
000013SB      00000000000007000000000000000022763.28C
000013SB      00000000000016640000000000000015219.00C
000007SB      00000000000038450000000000000009841.00C
000005SB      00000000000111720000000000000003281.00C
000003SB      00000000000069800000000000000019164.00C
000004SB      00000000000102290000000000000012144.61C
000003SB      00000000000062550000000000000016748.00C
000008SB      00000000000038740000000000000014065.00C
000008SB      00000000000114620000000000000010532.00C
000003SB      00000000000062690000000000000017482.01C
000008SB      00000000000051710000000000000014085.61C
000003ODFDR   00000000000036770000000000000021150.00C
000003SB      00000000000068140000000000000009551.00C
000004SB      00000000000102310000000000000002703.37C
000005SB      00000000000183400000000000000007381.00C
000003SB      00000000000068310000000000000008667.00C
000004SB      00000000000105100000000000000010580.00C
000008SB      00000000000055950000000000000017343.00C
000007SB      00000000000019970000000000000015353.76C
000004SB      00000000000101300000000000000011140.00C
000003SB      00000000000067560000000000000015933.00C
000013SB      00000000000001680000000000000023417.00C
000009SB      00000000000059750000000000000005856.00C
000010SB      00000000000018260000000000000006647.25C
000005SB      00000000000183410000000000000013163.00C
000003SB      00000000000066370000000000000022313.00C
000013SB      00000000000013150000000000000010138.85C
000004SB      00000000000101450000000000000005303.00C
000003SB      00000000000073030000000000000014015.00C
000003SB      00000000000066630000000000000011512.00C
000014SB      00000000000001800000000000000004761.86C
000005SB      00000000000183390000000000000009399.00C
000003SB      00000000000067070000000000000021367.59C
000006SB      00000000000084570000000000000017535.65C
000009SB      00000000000059690000000000000012375.00C
000010ODFDR   00000000000000310000000000000004568.00C
000012SB      00000000000009450000000000000004378.08C
000007SB      00000000000038260000000000000007570.49C
000003SB      00000000000067580000000000000029181.00C
000012SB      00000000000011030000000000000023895.93C
000006SB      00000000000091000000000000000009396.74C
000006SB      00000000000125200000000000000011257.00C
000010SB      00000000000019390000000000000011954.00C
000012SB      00000000000012560000000000000007141.00C
000013SB      00000000000016440000000000000005977.70C
000009SB      00000000000046100000000000000011382.00C
000004SB      00000000000101410000000000000003609.00C
000006SB      00000000000059100000000000000012667.00C
000003SB      00000000000068620000000000000004448.27C
000003SB      00000000000072040000000000000010123.90C
000006SB      00000000000111010000000000000008306.00C
000005SB      00000000000178190000000000000016300.00C
000008SB      00000000000134190000000000000007390.00C
000009SB      00000000000050860000000000000008145.00C
000004SB      00000000000104560000000000000012741.48C
000004SB      00000000000104340000000000000009708.00C
000005SB      00000000000184520000000000000012461.00C
000007SB      00000000000037880000000000000005111.73C
000008SB      00000000000155100000000000000012951.54C
000010SB      00000000000025720000000000000009740.45C
000005SB      00000000000185920000000000000009910.00C
000003SB      00000000000071210000000000000016592.02C
000003SB      00000000000010920000000000000013300.00C
000006SB      00000000000120000000000000000004999.00C
000003SB      00000000000071170000000000000005208.00C
000003SB      00000000000062700000000000000014853.89C
000010SB      00000000000025530000000000000013732.00C
000004SB      00000000000106600000000000000014102.00C
000005SB      00000000000191330000000000000014122.00C
000013SB      00000000000026570000000000000014092.00C
000004SB      00000000000105750000000000000013450.00C
000009SB      00000000000071190000000000000014092.00C
000008SB      00000000000171490000000000000013675.00C
000011SB      00000000000018730000000000000011815.00C
000005SB      00000000000191570000000000000014092.00C
000004SB      00000000000107130000000000000006865.00C
000003SB      00000000000073930000000000000069422.99C
000004SB      00000000000107240000000000000007745.00C
000011SB      00000000000020220000000000000008625.00C
000008SB      00000000000174090000000000000008625.00C
000009SB      00000000000072920000000000000008625.00C
000008SB      00000000000174060000000000000008625.00C
000010SB      00000000000029540000000000000008625.00C
000006SB      00000000000128000000000000000008625.00C
000005SB      00000000000192400000000000000008625.00C
000002PL      00000000000020110000000000000773051.00D
000003PL      00000000000020110000000000000156438.00D
000004PL      00000000000020110000000000000396766.00D
000005PL      00000000000020110000000000000223881.00D
000006PL      00000000000020110000000000000249608.00D
000007PL      00000000000020110000000000000175910.00D
000008PL      00000000000020110000000000000220565.00D
000009PL      00000000000020110000000000000185857.00D
000010PL      00000000000020110000000000000194310.00D
000011PL      00000000000020110000000000000121250.00D
000012PL      00000000000020110000000000000135952.00D
000013PL      00000000000020110000000000000134615.00D
000014PL      00000000000020110000000000000117544.00D
000002PTAX    00000000000000000000000000000027925.00C
000004SB      00000000000041640000000000000007650.00C
000002SMB     00000000000000000000000000000018711.65C
